Name,Host,Record Date,Claude conversation,Download,Long Clip Status,Publish Date,Short Clip Link,Short Clips Status,Source URL,Spotify Link,Status,Thumbnail,YouTube Link,🔮 Master Content Database
Brenna Clarke Gray,,,,https://share.descript.com/view/k37IDLxMSgu,Not started,"November 5, 2025",,Not started,https://riverside.fm/dashboard/studios/opened-podcast---ela/projects/68f134f777831088bbbc27f4?share-token=6140fc8dd4bb71e356e9&content-shared=project,,Done,,,"Brenna Blog Post Package (../../OpenEd%20Market/4dc9011b086c410392982e6bbf2940ef/OpenEd%20Content%20Engine/Master%20Content%20Database/Brenna%20Blog%20Post%20Package%202a0afe52ef5980d497c7c0008d66987c.md), Brenna Clarke Gray — YouTube & Show Notes (../../OpenEd%20Market/4dc9011b086c410392982e6bbf2940ef/OpenEd%20Content%20Engine/Master%20Content%20Database/Brenna%20Clarke%20Gray%20%E2%80%94%20YouTube%20&%20Show%20Notes%202a0afe52ef5980cdbda3e07f3f5fa36c.md), Clips & Socials - Brenna (../../OpenEd%20Market/4dc9011b086c410392982e6bbf2940ef/OpenEd%20Content%20Engine/Master%20Content%20Database/Clips%20&%20Socials%20-%20Brenna%202a0afe52ef59801a8271ceaf8511ecec.md)"
Jean Lee,,,,https://web.descript.com/312a1d90-5335-4f43-808f-38079960d893,Not started,"November 27, 2025",,Not started,https://riverside.fm/dashboard/studios/alexs-studio-LxwtO/recordings/547ac21f-2133-4ac0-83d1-4e6d98fd6ff1?share-token=cd6bdc72a180229529b5&content-shared=recording,,Done,,,"Jean Lee Podcast (../../OpenEd%20Market/4dc9011b086c410392982e6bbf2940ef/OpenEd%20Content%20Engine/Master%20Content%20Database/Jean%20Lee%20Podcast%202b1afe52ef5980b09836dbe89759e372.md), Clip 1 – “Deschooling Becomes No Schooling” (The Hook) (../../OpenEd%20Market/4dc9011b086c410392982e6bbf2940ef/OpenEd%20Content%20Engine/Master%20Content%20Database/Clip%201%20%E2%80%93%20%E2%80%9CDeschooling%20Becomes%20No%20Schooling%E2%80%9D%20(The%20H%202b1afe52ef5980b2a8a4d6927356a1df.md)"
Sandra Zamalis,,"December 30, 2025",,,Not started,,,Not started,,,Scheduled,,,"Sandra Zamalis Podcast / YouTube / Blog (../../OpenEd%20Market/4dc9011b086c410392982e6bbf2940ef/OpenEd%20Content%20Engine/Master%20Content%20Database/Sandra%20Zamalis%20Podcast%20YouTube%20Blog%202bfafe52ef5980f88c9df2ba62a839fe.md), OED - Sandra Zamalis Podcast (../../OpenEd%20Market/4dc9011b086c410392982e6bbf2940ef/OpenEd%20Content%20Engine/Master%20Content%20Database/OED%20-%20Sandra%20Zamalis%20Podcast%202bfafe52ef5980b5a586c9c4c55172ee.md)"
Krisy Shaughnessy,,"December 12, 2025",,,Not started,,,Not started,https://riverside.fm/dashboard/studios/alexs-studio-LxwtO/projects/693c822a318e9b725330579c?share-token=cd6bdc72a180229529b5&content-shared=project,,Recorded,,,Krisy Shaughnessy Podcast / YouTube / Blog (../../OpenEd%20Market/4dc9011b086c410392982e6bbf2940ef/OpenEd%20Content%20Engine/Master%20Content%20Database/Krisy%20Shaughnessy%20Podcast%20YouTube%20Blog%202d1afe52ef598022b3dbef895d662227.md)
"Amy (@organicallyamy) ",,,,,Not started,,,Not started,,,Scheduled,,,
Jon England,,"March 11, 2026",,,Not started,,,Not started,,,Scheduled,,,
Amar Kumar,,"January 16, 2026",,,Not started,,,Not started,,,Scheduled,,,
Janssen Bradshaw,,"December 11, 2025",,,Not started,,,Not started,https://riverside.fm/dashboard/studios/alexs-studio-LxwtO/recordings/c34d166b-9f9f-44e4-b2c6-f694900eb0a5?share-token=cd6bdc72a180229529b5&content-shared=recording,,Recorded,,,Janssen Bradshaw Podcast / YouTube / Blog (../../OpenEd%20Market/4dc9011b086c410392982e6bbf2940ef/OpenEd%20Content%20Engine/Master%20Content%20Database/Janssen%20Bradshaw%20Podcast%20YouTube%20Blog%202c6afe52ef5980eb9dbfc0e27459e6dc.md)
Claire Honeycutt,,"January 23, 2026",,,Not started,,,Not started,,,Scheduled,,,
Gretchen Roe,,,,,Not started,,,Not started,,,Scheduled,,,
Dr. Laura Froyen,,"January 15, 2026",,,Not started,,,Not started,,,Scheduled,,,
Dalena Wallace,,"December 9, 2025",,,Not started,"December 18, 2025",,Not started,https://riverside.fm/dashboard/studios/alexs-studio-LxwtO/recordings/b08ec329-a28c-405d-82f5-a6cbb316e8ab?share-token=cd6bdc72a180229529b5&content-shared=recording,,Done,,,"Dalena Podcast / YouTube / Blog (../../OpenEd%20Market/4dc9011b086c410392982e6bbf2940ef/OpenEd%20Content%20Engine/Master%20Content%20Database/Dalena%20Podcast%20YouTube%20Blog%202c4afe52ef59805ab9afdd78ef9bc28f.md), OED - Podcast Dalena Wallace (../../OpenEd%20Market/4dc9011b086c410392982e6bbf2940ef/OpenEd%20Content%20Engine/Master%20Content%20Database/OED%20-%20Podcast%20Dalena%20Wallace%202c6afe52ef59807dbf11d1b1f61a8110.md)"
Heather Malin,,"December 10, 2025",,,Not started,,,Not started,https://riverside.fm/dashboard/studios/alexs-studio-LxwtO/projects/6939d9c201c28ca8da8b6edd?share-token=cd6bdc72a180229529b5&content-shared=project,,Recorded,,,Heather Malin Podcast / YouTube / Blog (../../OpenEd%20Market/4dc9011b086c410392982e6bbf2940ef/OpenEd%20Content%20Engine/Master%20Content%20Database/Heather%20Malin%20Podcast%20YouTube%20Blog%202c6afe52ef598005a6a7e718838a4683.md)
Joshua Fields Millburn,,"January 16, 2026",,,Not started,,,Not started,,,Scheduled,,,
Bria Bloom,,"January 22, 2026",,,Not started,,,Not started,,,Scheduled,,,
